_id,name,url,gender,type
66d354a31163988af2de3188,arm3,https://www.youtube.com/watch?v=soMOHqILwWs&pp=ygUVd29yayBvdXQgZm9yIG1lbiBhcm1z,male,arm
66d354a31163988af2de3189,arm4,https://www.youtube.com/watch?v=ZSzz6JChQhE&pp=ygUVd29yayBvdXQgZm9yIG1lbiBhcm1z,male,arm
66d354a31163988af2de318a,arm5,https://www.youtube.com/watch?v=XPU1Xl6nZXI&pp=ygUVd29yayBvdXQgZm9yIG1lbiBhcm1z,male,arm
66d354a31163988af2de318b,arm6,https://www.youtube.com/watch?v=Y346900i9qE&pp=ygURd29yayBvdXQgZm9yIGFybXM%3D,female,arm
66d354a31163988af2de318c,arm7,https://www.youtube.com/watch?v=euMKqvdc89I&t=25s&pp=ygURd29yayBvdXQgZm9yIGFybXM%3D,female,arm
66d354a31163988af2de318d,arm8,https://www.youtube.com/watch?v=x9Sib-TEivI&t=97s&pp=ygURd29yayBvdXQgZm9yIGFybXM%3D,female,arm
66d354a31163988af2de318e,arm9,https://www.youtube.com/watch?v=rZiCR6Obkpc&t=28s&pp=ygURd29yayBvdXQgZm9yIGFybXM%3D,female,arm
66d354a31163988af2de318f,arm10,https://www.youtube.com/watch?v=8qDDtm6BOfw&t=15s&pp=ygURd29yayBvdXQgZm9yIGFybXM%3D,female,arm
66d354a31163988af2de3190,waist1,https://www.youtube.com/watch?v=wqLaiiXRKKg&pp=ygUSd29yayBvdXQgZm9yIHdhaXN0,female,waist
66d354a31163988af2de3191,waist2,https://www.youtube.com/watch?v=5_NECdrmzeo&pp=ygUSd29yayBvdXQgZm9yIHdhaXN0,female,waist
66d354a31163988af2de3192,waist3,https://www.youtube.com/watch?v=sETqHpTSqKg&t=215s&pp=ygUSd29yayBvdXQgZm9yIHdhaXN0,female,waist
66d354a31163988af2de3193,waist4,https://www.youtube.com/watch?v=3t9TkKmDa2s&t=415s&pp=ygUSd29yayBvdXQgZm9yIHdhaXN0,female,waist
66d354a31163988af2de3194,waist5,https://www.youtube.com/watch?v=4Zne-5V30xg&t=379s&pp=ygUSd29yayBvdXQgZm9yIHdhaXN0,female,waist
